"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 01 08:15:33 GMT 2023","Wed Nov 01 08:15:50 GMT 2023","16646","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()chromium",""
"failed","Wed Nov 01 08:17:15 GMT 2023","Wed Nov 01 08:17:38 GMT 2023","22827","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()firefox",""
"passed","Wed Nov 01 08:17:00 GMT 2023","Wed Nov 01 08:17:15 GMT 2023","14134","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()firefox",""
"passed","Wed Nov 01 08:15:24 GMT 2023","Wed Nov 01 08:15:33 GMT 2023","9222","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()chromium",""
