"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 31 17:32:14 GMT 2023","Tue Oct 31 17:32:36 GMT 2023","22155","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()chromium",""
"passed","Tue Oct 31 17:32:02 GMT 2023","Tue Oct 31 17:32:13 GMT 2023","11693","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()chromium",""
"failed","Tue Oct 31 17:31:59 GMT 2023","Tue Oct 31 17:32:19 GMT 2023","20317","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()firefox",""
"passed","Tue Oct 31 17:31:46 GMT 2023","Tue Oct 31 17:31:57 GMT 2023","11536","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()webkit",""
"passed","Tue Oct 31 17:31:47 GMT 2023","Tue Oct 31 17:31:59 GMT 2023","11597","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()firefox",""
