"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 31 16:45:04 GMT 2023","Tue Oct 31 16:45:20 GMT 2023","16125","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()chromium",""
"passed","Tue Oct 31 16:44:53 GMT 2023","Tue Oct 31 16:45:03 GMT 2023","9628","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()firefox",""
"passed","Tue Oct 31 16:44:54 GMT 2023","Tue Oct 31 16:45:04 GMT 2023","9535","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()chromium",""
"passed","Tue Oct 31 16:45:03 GMT 2023","Tue Oct 31 16:45:17 GMT 2023","14596","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()firefox",""
