"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 08:45:02 GMT 2023","Wed Nov 01 08:45:14 GMT 2023","11926","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()firefox",""
"passed","Wed Nov 01 08:45:15 GMT 2023","Wed Nov 01 08:45:33 GMT 2023","18049","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()firefox",""
"passed","Wed Nov 01 08:45:01 GMT 2023","Wed Nov 01 08:45:16 GMT 2023","14814","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()chromium",""
"passed","Wed Nov 01 08:44:53 GMT 2023","Wed Nov 01 08:45:01 GMT 2023","7907","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()chromium",""
