"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 31 18:11:38 GMT 2023","Tue Oct 31 18:11:48 GMT 2023","10123","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()firefox",""
"failed","Tue Oct 31 18:12:09 GMT 2023","Tue Oct 31 18:12:30 GMT 2023","20493","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()chromium",""
"passed","Tue Oct 31 18:11:56 GMT 2023","Tue Oct 31 18:12:09 GMT 2023","13391","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()chromium",""
"failed","Tue Oct 31 18:11:48 GMT 2023","Tue Oct 31 18:12:06 GMT 2023","17940","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()firefox",""
