"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 09:04:32 GMT 2023","Wed Nov 01 09:04:40 GMT 2023","7653","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testOpenSteamWebAndOpenTrendingButton","Browser is: chromium Test name: testOpenSteamWebAndOpenTrendingButton()",""
"passed","Wed Nov 01 09:04:43 GMT 2023","Wed Nov 01 09:04:58 GMT 2023","14553","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","Browser is: firefox Test name: testSteamWeb()",""
"passed","Wed Nov 01 09:04:33 GMT 2023","Wed Nov 01 09:04:43 GMT 2023","9871","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testOpenSteamWebAndOpenTrendingButton","Browser is: firefox Test name: testOpenSteamWebAndOpenTrendingButton()",""
"passed","Wed Nov 01 09:04:40 GMT 2023","Wed Nov 01 09:04:54 GMT 2023","13527","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","Browser is: chromium Test name: testSteamWeb()",""
