"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 31 16:00:35 GMT 2023","Tue Oct 31 16:00:45 GMT 2023","10260","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()chromium",""
"passed","Tue Oct 31 16:00:28 GMT 2023","Tue Oct 31 16:00:40 GMT 2023","11869","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()firefox",""
"passed","Tue Oct 31 16:00:45 GMT 2023","Tue Oct 31 16:01:08 GMT 2023","22971","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()chromium",""
"passed","Tue Oct 31 16:00:40 GMT 2023","Tue Oct 31 16:01:00 GMT 2023","20065","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()firefox",""
