"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 31 16:19:57 GMT 2023","Tue Oct 31 16:20:13 GMT 2023","15773","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()firefox",""
"passed","Tue Oct 31 16:19:57 GMT 2023","Tue Oct 31 16:20:06 GMT 2023","9257","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()chromium",""
"passed","Tue Oct 31 16:19:47 GMT 2023","Tue Oct 31 16:19:57 GMT 2023","9922","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","secondTest","secondTest()firefox",""
"passed","Tue Oct 31 16:20:06 GMT 2023","Tue Oct 31 16:20:29 GMT 2023","22046","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","","by.itechartgroup.shirochina.anastasiya.tests.SteamTest","testSteamWeb","testSteamWeb()chromium",""
